date,steps
2024-03-26,4014
2024-03-27,7081
2024-03-28,15238
2024-03-29,9988
2024-03-30,10300
2024-03-31,4348
2024-04-01,7994
2024-04-02,14139
2024-04-03,8465
2024-04-04,14238
2024-04-05,7176
2024-04-06,4941
2024-04-07,9678
2024-04-08,6975
2024-04-09,7847
2024-04-10,8248
2024-04-11,6913
2024-04-12,7693
2024-04-13,10531
2024-04-14,7190
2024-04-15,7034
2024-04-16,6454
2024-04-17,4021
2024-04-18,8791
2024-04-19,4529
2024-04-20,10412
2024-04-21,18151
2024-04-22,6067
2024-04-23,12301
2024-04-24,9929
2024-04-25,10940
2024-04-26,5875
2024-04-27,15066
2024-04-28,14813
2024-04-29,6656
2024-04-30,6797
2024-05-01,8775
2024-05-02,7091
2024-05-03,8711
2024-05-04,10657
2024-05-05,10686
2024-05-06,9847
2024-05-07,14662
2024-05-08,8463
2024-05-09,14404
2024-05-10,9
2024-05-11,15028
2024-05-12,10667
2024-05-13,7997
2024-05-14,14415
2024-05-15,10679
2024-05-16,5298
2024-05-17,9447
2024-05-18,5494
2024-05-19,5141
2024-05-20,7715
2024-05-21,12064
2024-05-22,5762
2024-05-23,10
2024-05-24,4014
2024-05-25,4014
2024-05-26,27
2024-05-27,11697
2024-05-28,2897
2024-05-29,4803
2024-05-30,6778
2024-05-31,2322
2024-06-01,5133
2024-06-02,10443
2024-06-03,6785
2024-06-04,4340
2024-06-05,10358
2024-06-06,8199
2024-06-07,8348
2024-06-08,5745
2024-06-09,15786
2024-06-10,6875
2024-06-11,5864
2024-06-12,7607
2024-06-13,6965
2024-06-14,8653
2024-06-15,4014
2024-06-16,7987
2024-06-17,8952
2024-06-18,6716
2024-06-19,8750
2024-06-20,4038
2024-06-21,5406
2024-06-22,5259
2024-06-23,10642
2024-06-24,9891
2024-06-25,11052
2024-06-26,12770
2024-06-27,19904
2024-06-28,10001
2024-06-29,6770
2024-06-30,7166
2024-07-01,8114
2024-07-02,7649
2024-07-03,7511
2024-07-04,22123
2024-07-05,7724
2024-07-06,6738
2024-07-07,8393
2024-07-08,9662
2024-07-09,6441
2024-07-10,8157
2024-07-11,6800
2024-07-12,7515
2024-07-13,5806
2024-07-14,8139
2024-07-15,3239
2024-07-16,6706
2024-07-17,6512
2024-07-18,6374
2024-07-19,11125
2024-07-20,10593
2024-07-21,7356
2024-07-22,4745
2024-07-23,8793
2024-07-24,7487
2024-07-25,3959
2024-07-26,3594
2024-07-27,8776
2024-07-28,2721
2024-07-29,7009
2024-07-30,7328
2024-07-31,9354
2024-08-01,7547
2024-08-02,4014
2024-08-03,4658
2024-08-04,1925
2024-08-05,5470
2024-08-06,10633
2024-08-07,6207
2024-08-08,10110
2024-08-09,9165
2024-08-10,12579
2024-08-11,9206
2024-08-12,7095
2024-08-13,5324
2024-08-14,9219
2024-08-15,7427
2024-08-16,7105
2024-08-17,4104
2024-08-18,8649
2024-08-19,7572
2024-08-20,9793
2024-08-21,7575
2024-08-22,7608
2024-08-23,4577
2024-08-24,24395
2024-08-25,16753
2024-08-26,7675
2024-08-27,10334
2024-08-28,11666
2024-08-29,7489
2024-08-30,11822
2024-08-31,5592
2024-09-01,13740
2024-09-02,4264
2024-09-03,4014
2024-09-04,4014
2024-09-05,4014
2024-09-06,4014
2024-09-07,4014
2024-09-08,748
2024-09-09,8228
2024-09-10,6296
2024-09-11,7181
2024-09-12,9108
2024-09-13,3799
2024-09-14,2800
2024-09-15,23338
2024-09-16,7422
2024-09-17,7737
2024-09-18,4119
2024-09-19,10016
2024-09-20,9994
2024-09-21,6702
2024-09-22,5661
2024-09-23,8557
2024-09-24,6055
2024-09-25,9665
2024-09-26,14615
2024-09-27,3086
2024-09-28,11719
2024-09-29,26265
2024-09-30,27455
2024-10-01,27991
2024-10-02,18722
2024-10-03,22845
2024-10-04,24133
2024-10-05,29431
2024-10-06,10051
2024-10-07,8099
2024-10-08,6839
2024-10-09,6669
2024-10-10,8593
2024-10-11,10572
2024-10-12,3861
2024-10-13,4014
2024-10-14,4683
2024-10-15,10682
2024-10-16,3188
2024-10-17,11222
2024-10-18,3496
2024-10-19,4555
2024-10-20,4451
2024-10-21,2594
2024-10-22,6043
2024-10-23,2594
2024-10-24,6615
2024-10-25,3074
2024-10-26,4014
2024-10-27,8942
2024-10-28,4014
2024-10-29,9143
2024-10-30,4125
2024-10-31,10384
2024-11-01,3338
2024-11-02,11633
2024-11-03,11387
2024-11-04,3504
2024-11-05,7947
2024-11-06,5056
2024-11-07,6255
2024-11-08,3959
2024-11-09,4014
2024-11-10,8135
2024-11-11,4014
2024-11-12,11721
2024-11-13,7885
2024-11-14,7535
2024-11-15,5420
2024-11-16,7358
2024-11-17,10745
2024-11-18,2380
2024-11-19,5208
2024-11-20,7698
2024-11-21,1652
2024-11-22,3009
2024-11-23,6588
2024-11-24,4014
2024-11-25,5912
2024-11-26,6221
2024-11-27,4014
2024-11-28,4014
2024-11-29,4512
2024-11-30,6293
2024-12-01,11750
2024-12-02,4014
2024-12-03,7084
2024-12-04,8053
2024-12-05,9045
2024-12-06,3168
2024-12-07,9101
2024-12-08,9783
2024-12-09,4014
2024-12-10,5225
2024-12-11,7744
2024-12-12,7995
2024-12-13,6247
2024-12-14,4014
2024-12-15,4014
2024-12-16,7669
2024-12-17,5743
2024-12-18,2728
2024-12-19,2354
2024-12-20,5752
2024-12-21,3439
2024-12-22,4014
2024-12-23,4014
2024-12-24,657
2024-12-25,4014
2024-12-26,2408
2024-12-27,3645
2024-12-28,4821
2024-12-29,4014
2024-12-30,4014
2024-12-31,2896
